year_month,Channel,optioncode,cat_l3,cat_l2,pack_qty,sale_quantity,Revenue,mrp,core_size_available,all_size_available,fringe_size_available,stock_firstday_sum,ros_prev_month,ros_overall,Availability,DOH,DOH_overall,DOH_clamped,DOH_bucket,ros_prev_month_sum,ros_overall_sum,DOH_sum,DOH_overall_sum
2025-05,AJIO_VMS,BB1002-HBDGRY,Deo-Soft Supima Printed Boxer Brief,boxer-brief,1.0,18,9112.0,12582.0,0,0,1,533.0,8.451612903225808,7.502702702702703,Fringe Available,63.064885496183194,71.04106628242074,21.021628498727733,0-60,25.354838709677423,22.50810810810811,21.021628498727733,23.68035542747358
2025-05,AJIO_VMS,BR1001-KNTBLU,Deo-Soft Supima Solid Brief,brief,1.0,30,12300.0,13500.0,1,1,1,1418.0,18.64516129032258,10.978378378378379,All100,76.05190311418686,129.16297390448054,38.02595155709343,0-60,37.29032258064516,21.956756756756757,38.02595155709343,64.58148695224027
2025-05,AJIO_VMS,BR1001-MX1136,Deo-Soft Supima Solid Brief,brief,3.0,0,0.0,0.0,0,0,1,226.0,0.0,0.3076923076923077,Fringe Available,,734.5,,No_Sales,0.0,0.3076923076923077,,734.5
2025-05,AJIO_VMS,BR1001-MX1139,Deo-Soft Supima Solid Brief,brief,3.0,0,0.0,0.0,0,0,1,147.0,0.0,0.15217391304347827,Fringe Available,,965.9999999999999,,No_Sales,0.0,0.15217391304347827,,965.9999999999999
2025-05,AJIO_VMS,BR1001-SPCGRY,Deo-Soft Supima Solid Brief,brief,1.0,24,9302.0,10800.0,1,1,1,1116.0,15.451612903225806,9.708108108108108,All100,72.22546972860125,114.9554565701559,36.11273486430063,0-60,30.903225806451612,19.416216216216217,36.11273486430063,57.47772828507795
2025-05,AJIO_VMS,BR1001-WYNBLK,Deo-Soft Supima Solid Brief,brief,1.0,0,0.0,0.0,0,0,1,336.0,3.5161290322580645,29.897297297297296,Fringe Available,95.55963302752293,11.238474055324534,15.926605504587155,0-60,21.096774193548388,179.38378378378377,15.926605504587155,1.8730790092207559
2025-05,AJIO_VMS,BR1002-MX1210,Deo-Soft Supima Printed Brief,brief,2.0,20,17328.0,20980.0,1,1,1,753.0,2.3548387096774195,1.6594594594594594,All100,319.7671232876712,453.76221498371336,159.8835616438356,120+,4.709677419354839,3.3189189189189188,159.8835616438356,226.88110749185668
2025-05,AJIO_VMS,BR1002-MX1211,Deo-Soft Supima Printed Brief,brief,2.0,10,8412.0,10490.0,1,1,1,662.0,1.6774193548387095,1.945945945945946,All100,394.6538461538462,340.1944444444444,197.3269230769231,120+,3.354838709677419,3.891891891891892,197.3269230769231,170.0972222222222
2025-05,AJIO_VMS,BR1002-MX1212,Deo-Soft Supima Printed Brief,brief,3.0,6,8058.0,9594.0,0,0,1,325.0,0.3314794215795328,0.658462932205949,Fringe Available,980.4530201342282,493.5737216234808,490.2265100671141,120+,0.6629588431590656,1.316925864411898,490.2265100671141,246.7868608117404
2025-05,AJIO_VMS,BR1002-MX1213,Deo-Soft Supima Printed Brief,brief,2.0,17,15786.0,17833.0,1,1,1,792.0,1.064516129032258,0.827027027027027,All100,744.0,957.6470588235294,372.0,120+,2.129032258064516,1.654054054054054,372.0,478.8235294117647
2025-05,AJIO_VMS,BR1002-MX1215,Deo-Soft Supima Printed Brief,brief,2.0,10,8668.0,10490.0,1,1,1,1910.0,8.96774193548387,6.7662749706227965,All100,212.9856115107914,282.2823500807558,53.24640287769785,0-60,35.87096774193548,27.065099882491186,53.24640287769785,70.57058752018895
2025-05,AJIO_VMS,BR1008-MX1370,Deo-Cotton Basic Printed Brief,brief,3.0,0,0.0,0.0,1,1,1,368.0,0.5357142857142857,0.9597023990282418,All100,686.9333333333334,383.45220390469257,343.4666666666667,120+,1.0714285714285714,1.9194047980564837,343.4666666666667,191.72610195234628
2025-05,AJIO_VMS,BR1023-MARSAL,Deo-Cotton Tonal Solid Brief,brief,1.0,40,11138.0,13960.0,1,1,1,2871.0,21.67741935483871,23.037837837837838,All100,132.44196428571428,124.62106992022525,26.488392857142852,0-60,108.38709677419357,115.1891891891892,26.488392857142852,24.92421398404505
2025-05,AJIO_VMS,BR1023-MX1435,Deo-Cotton Tonal Solid Brief,brief,2.0,38,20084.0,26410.0,1,1,1,2868.0,8.027956989247311,4.797059697059697,All100,357.2515403160997,597.8662307992348,119.08384677203323,60-120,24.083870967741934,14.39117909117909,119.08384677203323,199.28874359974492
2025-05,AJIO_VMS,BR1043-EMDGRN,Premium Solid Brief,brief,1.0,6,2898.0,3594.0,1,0,1,319.0,6.129032258064516,5.216216216216216,Core Instock,52.04736842105263,61.15544041450778,26.023684210526316,0-60,12.258064516129032,10.432432432432432,26.023684210526316,30.57772020725389
2025-05,AJIO_VMS,BR1043-OPLBLK,Premium Solid Brief,brief,1.0,22,11246.0,13178.0,1,1,1,1874.0,27.83870967741936,26.594594594594593,All100,67.31633835457704,70.46544715447155,16.82908458864426,0-60,111.35483870967744,106.37837837837837,16.82908458864426,17.616361788617887
2025-05,AJIO_VMS,BR1043-PRLTEA,Premium Solid Brief,brief,1.0,10,5366.0,5990.0,1,1,1,682.0,13.580645161290324,13.405405405405403,All100,50.218527315914486,50.87500000000001,16.739509105304826,0-60,40.741935483870975,40.21621621621621,16.739509105304826,16.958333333333336
